	H005_102	H005_118_hybrid	H005_126	H005_137	H005_73_hybrid	H005_75	H005_77	H005_94	H005_97	H005_98_hybrid	H007_145	H007_146	H007_148	H007_154	H007_156	H007_157	H007_158	H007_162	H007_172	H007_176_hybrid	H007_181	H007_183	H007_187	H007_188	H007_190	H007_194	H009_202	H009_205	H009_211	H009_213	H009_215	H009_217	H009_218	H009_219	H009_220	H009_221_hybrid	H009_228	H009_230	H009_234	H009_236	H009_251	H009_255	H009_256	H009_259
H005_102	0.9999813194	0.8593415333000001	0.9677530051000001	0.8500995188	0.8374845118	0.8375441360000001	0.8377470632	0.23422682700000003	0.8375223847000001	0.9852748576	0.8602645577	0.8495961673	0.8499239727000001	0.8498786787	0.8497793903	0.8500230052000001	0.8484955497000001	0.8497499620000001	0.8501775677000001	0.8467508367000001	0.8486163336	0.8493814688	0.8493589498	0.8490298648	0.8497379348	0.8499518656	0.8600741695	0.8575510146	0.8606809038000001	0.8350598776	0.8364583605	0.8610519560000001	0.8369338191	0.8592486423	0.8365507397	0.8362134661	0.8605726589	0.8421398094	0.8449953759000001	0.8585863781	0.8586063382	0.8583379011000001	0.8389891924	0.8604649258
H005_118_hybrid	0.8539551527	1.0	0.831549406	0.9013125070000001	0.8430967135	0.8304329906	0.8310905810000001	0.2420401799	0.8312797612	0.87051624	0.9698383695	0.8994017870000001	0.90197489	0.9003731643	0.8944649404	0.9044829150000001	0.901696669	0.9024044552	0.9022659753000001	0.8500645987000001	0.9031008906	0.9001221852	0.9014431675000001	0.8984770741	0.9004934829000001	0.8963837321	0.9685037662	0.9703852264	0.9716461755	0.8389942777	0.8393597738	0.9692042374000001	0.8417547952000001	0.9715652064	0.8384163952	0.8581483950000001	0.9709040846	0.8563859922	0.8550904862	0.9711984490000001	0.9652170755	0.9726389932	0.9185435445000001	0.9691739686
H005_126	0.6381205508000001	0.5694440172	0.9999486383	0.5635035770000001	0.5547974943	0.5550714236000001	0.5549477006	0.6053345054	0.5550692835000001	0.6310345031	0.5695088881	0.5628346706	0.5632332591	0.5633837329	0.5636913684	0.5632677678	0.5630679385	0.5633712938000001	0.5635410283	0.5631056573000001	0.5632598762000001	0.5630176468	0.5630470728	0.5629629412	0.563318862	0.5632993338	0.5693277845	0.5675317286	0.5695546322	0.5572452023000001	0.5578583331	0.5696126816	0.5582649469000001	0.5692049978	0.5582304382000001	0.5579387196	0.5694034895	0.558083977	0.5597385206000001	0.5684222663	0.5686571392	0.5683892289	0.5520856211	0.5693260457
H005_137	0.8635454553	0.9217251117	0.8404115172000001	0.9999818042	0.842054862	0.8417938816	0.8420821558	0.24012303510000002	0.8421156881	0.8563367812	0.9241212446	0.9968999478	0.9984803870000001	0.9976771703	0.9923865983000001	0.9984356772	0.9961609365	0.9983771905000001	0.997464019	0.8451190424	0.9968204060000001	0.9973306695	0.9974783158	0.9954728736	0.9972682837000001	0.9974349057	0.9238301111	0.9212413622000001	0.923926809	0.8466890839000001	0.8491044525	0.924938498	0.8492453403	0.9229278571	0.8488229367000001	0.8478107279	0.9243362156	0.8727416356000001	0.8848202978	0.9219421622	0.9217570844	0.9217986749	0.8789609756000001	0.9238048969
H005_73_hybrid	0.8354512015000001	0.8493286252000001	0.8143896169	0.8344281806	0.9999724328	0.9733410117	0.9742977701000001	0.2421716773	0.9741278146000001	0.8439950065	0.8405301398	0.8333191704	0.8362835283000001	0.8340738538	0.8317316544000001	0.8377208157	0.8348864535	0.8354711814	0.8358090691000001	0.8845759307000001	0.8350518567	0.8342316696000001	0.8348826599	0.8316828428	0.8337911004	0.8309448515000001	0.8399780373	0.8391861761	0.8447919259000001	0.8716466665	0.8722453045	0.8395111655	0.8747738985	0.8427613117	0.8724473795000001	0.8848971263000001	0.8425028377	0.8318715136	0.830016166	0.8409585693	0.8335091058	0.8415733935	0.8171885717	0.8422638377
H005_75	0.8573401224	0.8561353161	0.8346647335	0.8497387181	0.9970787645	0.9999832083	0.999627696	0.23848894410000002	0.9993826417	0.8524511066	0.8580054946000001	0.8491840664	0.8492333921	0.8495353808	0.8493142023	0.8491549433000001	0.8483090601000001	0.8498845962	0.8501028887000001	0.8927344564	0.8488700087000001	0.8490072286	0.8494041955	0.8484260774	0.8494632289	0.8496568585000001	0.8572637726000001	0.85555915	0.8582725880000001	0.8964860953	0.8974009819000001	0.8588175319	0.8983006511	0.8582759988	0.8979595692000001	0.8967943809000001	0.8587236032000001	0.8459178134	0.8455051043	0.8562793576000001	0.8556197577	0.8560597534000001	0.8296828384	0.8582180148
H005_77	0.8577439227	0.8558144658	0.8333276510000001	0.8489416442000001	0.9965906021000001	0.9987844185	0.9999850511	0.2376046095	0.9990713325	0.8534866338	0.8578076523	0.8481071285	0.8486395191	0.84886113	0.8482214745000001	0.8487633065	0.8478653235	0.8487268522	0.8491792530000001	0.8928360683000001	0.8482642231	0.8484745567	0.8485086507	0.8474213150000001	0.8487174107000001	0.8487407520000001	0.8570777789	0.8553434444	0.8578737421	0.8968171960000001	0.8979095146	0.8582542834	0.8988410670000001	0.8579516338000001	0.8983018576	0.8990944115	0.8577895562000001	0.8460077262	0.8452872942	0.8557709304000001	0.8551019017	0.8556211792	0.828406054	0.8570943013000001
H005_94	0.2530377623	0.2562765949	0.9966005894000001	0.2524998121	0.2541456668	0.2540827714	0.25407804030000003	0.9999782928000001	0.25408082330000004	0.2532050194	0.25483862890000003	0.2524942462	0.2526278292	0.25277978	0.2527650302	0.2524502751	0.2525156751	0.2527302429	0.25277978	0.2570945128	0.2524920198	0.25245973720000003	0.25255686320000004	0.2529654048	0.2526720786	0.2527491672	0.25484141190000004	0.2543635741	0.2554965254	0.25778608340000003	0.2580774615	0.2550454043	0.2580738436	0.2552471704	0.2580226368	0.2583933298	0.2545592176	0.2492039285	0.24920365020000002	0.2548369591	0.2548389072	0.2550523618	0.24253173290000002	0.2548222093
H005_97	0.8569236833	0.8574148847	0.8336044737	0.8500466012000001	0.9975340220000001	0.9989005695000001	0.9990050023	0.23700572860000002	0.9999853059	0.8530176874000001	0.8586602062	0.8492006432	0.8496427769	0.8498212048	0.8501691391	0.849604205	0.8491295344	0.8496401530000001	0.8499812651	0.8911109863000001	0.8492386903	0.8493475838000001	0.8501735998000001	0.8481607761000001	0.8497731867	0.8502924643	0.8588947863	0.8570866299000001	0.8592980858	0.8955533153	0.8962932661	0.8594426648	0.8969558108000001	0.8594833359	0.8961791248000001	0.8960474030000001	0.8591217571	0.848310603	0.8469251632	0.8571569514	0.8562167941000001	0.8572616466	0.8305767103	0.8583692113
H005_98_hybrid	0.9681735130000001	0.8626558682000001	0.9361273671	0.8367907267	0.83684082	0.8226737014000001	0.8226799631	0.24104439390000001	0.8228497792	1.0	0.8494693248	0.8372863993	0.8397256894	0.83815176	0.8350477326	0.8409572316	0.8394008348	0.8390166197000001	0.8395961984	0.8467870825	0.8398136031000001	0.837810625	0.8394246291	0.8352300720000001	0.8378281577000001	0.8348145486	0.8488093464	0.849904635	0.8513756229	0.8232637997000001	0.8241589659	0.8461874664	0.8257809849000001	0.8507128894	0.8212608217	0.8390406644	0.8513415595	0.8357795948000001	0.8341240133000001	0.8495407076	0.8429809984000001	0.8525037226000001	0.8301090405	0.8509312959
H007_145	0.8790138422	0.9948426210000001	0.8581585673000001	0.9252723004000001	0.8567136075	0.8564816138	0.8565935839000001	0.24488873390000002	0.8566141074	0.8733672759000001	0.9999727219000001	0.9247511588	0.9254466204	0.9259459395	0.9232160514000001	0.9257534341	0.9234490843000001	0.9257843492000001	0.9250956422000001	0.8556793779	0.9245505998	0.9251904661	0.9248766380000001	0.9231578581000001	0.9257648649	0.9252507377	0.9984079983	0.9949608261	0.9985238652	0.8615953479	0.8629639290000001	0.9982869355	0.8629956236	0.9965658174	0.8623118526	0.8626854326000001	0.9979292027000001	0.8758758218	0.8773135074	0.9957887813	0.9950748745	0.9942596490000001	0.9418664766	0.9975306827
H007_146	0.8599884424	0.9182949475000001	0.8365000141000001	0.9947677435000001	0.8407542013	0.840349608	0.8405801381	0.24279276090000002	0.840223464	0.8525485363	0.9225623448	0.9999582974000001	0.9983044381	0.9985370404	0.9923059927000001	0.995770679	0.9970103612000001	0.9988331032000001	0.9977335523	0.8409191987	0.9978361252000001	0.9985603524000001	0.9973188571	0.9955396308000001	0.998579002	0.9981477294000001	0.9218818924000001	0.9193851736	0.9220463718	0.8441145015	0.8465583797	0.9225348884000001	0.8471411805	0.9212516904	0.8465563075	0.8463700702	0.9228081572	0.8704560637000001	0.8816764046000001	0.9203155828	0.9199739320000001	0.9195659714000001	0.8789538181000001	0.9219904229
H007_148	0.8597638031	0.9172479679000001	0.8379608306	0.9948136613	0.8384939113000001	0.8383150095	0.8380931299000001	0.24095711150000002	0.8379377883	0.8533070288	0.9192718103	0.9968724555	0.9999769577000001	0.9979059950000001	0.99212185	0.9950451203	0.9963795047	0.9990777886000001	0.9976592608	0.840295874	0.9970956296000001	0.9980942173	0.9972064399	0.9951908825	0.9981053501	0.9973625583000001	0.91943233	0.9169582558	0.9195594512	0.8410811259000001	0.8437817399	0.9201593287000001	0.8440434905	0.9188200251	0.8435396658000001	0.8434653608	0.9205538964000001	0.8701188752000001	0.8821122835	0.9173064799	0.9167679623	0.9173432441	0.8769924828000001	0.9194015205
H007_154	0.8626076526	0.9191536130000001	0.8401691987000001	0.9943716114000001	0.843069629	0.8428502839	0.842990644	0.24460519960000002	0.8429556835	0.8555888702000001	0.9224049436	0.9974851716	0.9986259211	0.9999779878	0.9928970534	0.9958207907000001	0.9960103545000001	0.9983949226000001	0.9975506902000001	0.8435269647	0.9974582390000001	0.9989214025	0.9981711751000001	0.9947007585000001	0.9996737016	0.9976579025000001	0.9221615146000001	0.9194120621	0.9221022112	0.8448862824000001	0.8478185657	0.9227278754	0.8477670312000001	0.9212509867	0.8474176848	0.8468109251	0.9226424163	0.8716818559	0.8832302299	0.9202930678000001	0.9198546366	0.9194384767	0.8814609675	0.9218810534
H007_156	0.867777101	0.9201894569	0.8455117135	0.9946403996000001	0.8480715812	0.8481896847	0.8481050264000001	0.24260030500000002	0.8480033842	0.8597690554	0.9230613059	0.9970309507	0.9984157928	0.9982365472	0.9999840613000001	0.9949288648000001	0.9955570083	0.9979107174	0.9980222886000001	0.8494637395	0.9969063149	0.9976366232	0.9976457684000001	0.9957587250000001	0.9982054536	0.9976870523	0.9227650020000001	0.9193961775	0.9225614563000001	0.8504043870000001	0.8535040818	0.9226471597	0.8538134503	0.9212372336	0.8536692177	0.8533961686	0.9224195753000001	0.8790290741000001	0.8881107644	0.9198145043	0.9200107338	0.9198304431000001	0.8817572131	0.9221901618
H007_157	0.8629292462	0.9203992866	0.8392412786000001	0.9978152165	0.8432428193	0.8430737401	0.8432158082000001	0.2429366587	0.843051404	0.8553391232	0.9224890118	0.9959833954	0.9979868929000001	0.9976040623	0.9917133020000001	0.99997195	0.9953899301	0.9978993665	0.9963914191000001	0.8452309931	0.9978731345	0.9972095442000001	0.9967264608	0.9950146315	0.9978004123	0.9960594941	0.9226731549	0.9207893894	0.9227305535	0.8449151708	0.8471705988	0.9238128161	0.8476386183	0.921848277	0.8472716308	0.8471791697000001	0.9235845202	0.8727415527	0.8843685386000001	0.9208717214000001	0.9203894171	0.9209015894	0.8798402812	0.9227627591
H007_158	0.8610731314000001	0.9187575824	0.8380067178	0.9937270582000001	0.8406880807	0.8400663117	0.8406525437	0.24033592650000002	0.8401314197	0.8555744827	0.9200859426	0.9970016568000001	0.9981951317000001	0.9975505359000001	0.9913790174	0.9945140617	0.9999779515	0.9983808583	0.9968161895000001	0.8420882933	0.9981245764000001	0.9970120325	0.9970582048000001	0.9954359504	0.9973583245000001	0.9971827142	0.9198325140000001	0.9190535518	0.9197188992	0.8442215552000001	0.8456160611	0.9205440337	0.8462440556	0.9190104923	0.8460928285	0.8458897225	0.9207149748000001	0.8714616294	0.8823403834	0.9180367246000001	0.9179085836	0.9187326805	0.8762619876000001	0.9196493814000001
H007_162	0.8614509834	0.9168081046000001	0.8374973501	0.9935606815	0.8409280985	0.8405664902000001	0.8407334461	0.2378408908	0.8404686463000001	0.8542309846	0.9200079621	0.9959519033	0.9976905736	0.9975093812	0.9908694568	0.9946108208000001	0.99645743	0.9999769627	0.9969282714000001	0.8419106789	0.9976830671	0.9968348279	0.9961491441	0.9946669904000001	0.9975743516000001	0.9958522474	0.9192249522	0.9166401134000001	0.9190160632000001	0.8426080107	0.8444981062	0.9192202929000001	0.8453699004	0.9179669593	0.8453478984	0.8446402128	0.9197232312	0.8723440108	0.8844140122	0.9170219116	0.9169496935	0.9167659126000001	0.8784582185	0.9193204664
H007_172	0.8635034819	0.9187552743	0.8405116764	0.9957588309000001	0.8438807229	0.8435749876	0.8436454622	0.2416474049	0.8434907809000001	0.8555675806	0.9216284079	0.9978059613	0.9989369224	0.9986920752	0.9939270106	0.9955401525	0.9962803944	0.9991623374	0.9999694265000001	0.8442527870000001	0.9974414109	0.9982990241	0.9981718071000001	0.9964985546	0.99852988	0.997749478	0.9211783553	0.9184964357000001	0.9211112490000001	0.8466305260000001	0.8486626287	0.9218237675000001	0.8494593539	0.9201326373000001	0.8489637002	0.8483605209	0.9218126263	0.8737551978	0.8862053572	0.9192729513000001	0.9191332977000001	0.918563542	0.8792055756	0.9210602068
H007_176_hybrid	0.8386761562	0.8485762308	0.820604297	0.8315168591000001	0.8848411124000001	0.8735127345	0.8730486565000001	0.24476794710000002	0.8733941114	0.8489780761	0.8409437114	0.8332187321000001	0.8331519272	0.8338425828	0.8306588103	0.8347168883	0.8326632103	0.8340760189	0.8340828772000001	1.0	0.8332819808	0.8341852435	0.8333180503000001	0.8314170328	0.8332852829	0.8307835296	0.8408939253000001	0.8396114243	0.849932903	0.889401878	0.8910984168	0.8382357013	0.8917517328000001	0.8492732367	0.8885415431	0.9024486396	0.8417928699	0.836108614	0.8336040666000001	0.8416452895000001	0.8354928916000001	0.8399634834	0.8214344046000001	0.8409851152000001
H007_181	0.8596646116000001	0.9180171743000001	0.8370748997	0.9943589263	0.8398684631000001	0.8397592727000001	0.8399470491000001	0.2406533894	0.8398292998	0.8555916267	0.9191972610000001	0.9967771963000001	0.9980509118	0.9977430518	0.992015352	0.9958834427000001	0.9972064366000001	0.9982952286000001	0.9967927578	0.8416113604000001	0.9999761389	0.9969291811000001	0.9974782456000001	0.9952723912	0.9982402444	0.9974608685	0.9190125968	0.9184383744	0.9187112209	0.8446697301	0.8463560869000001	0.9199784524	0.8468478329	0.9178493685	0.8465840641	0.8460547109000001	0.9195289820000001	0.8712649933000001	0.8826822670000001	0.9174764093000001	0.9169455	0.9180991319	0.8788652702	0.9187039588
H007_183	0.8597207759000001	0.9163255370000001	0.8364357798000001	0.9949438798	0.8408140887000001	0.8411664677	0.8413032737	0.2405217178	0.8408651319	0.85219593	0.9201211251	0.9972527394	0.9982870754000001	0.9989267987	0.9919895965000001	0.9959087763000001	0.9961906795000001	0.9989801738	0.9979046405	0.8397587655000001	0.9973198469000001	0.9999779763000001	0.9975229830000001	0.9952962587	0.9991877146	0.9972467801	0.9200374351	0.9169191402	0.9195650918	0.8426218448	0.8455408901	0.9206704217	0.845401234	0.9189113769	0.8449643877	0.8447685064	0.9202716635	0.8703747991	0.8819641812000001	0.9178788547000001	0.9173989974000001	0.9171176124	0.8790705279000001	0.9197741873
H007_187	0.8626316016000001	0.9185751481000001	0.8395607775	0.9945552212000001	0.8422188666	0.8417939146000001	0.8419593322000001	0.24267664290000002	0.8419326268	0.8556080962	0.9215907777000001	0.9964471522	0.9979509482000001	0.9986250637	0.993428152	0.9949410227000001	0.9961894327	0.997724601	0.9977274530000001	0.8425432199	0.9972265334	0.9973185761000001	0.9999725168	0.9958783025000001	0.9983463429	0.9980836971	0.9213888023000001	0.9177335408	0.9209770733	0.8440203106	0.8459672079	0.921283018	0.8464502376	0.9195619494	0.8460898451000001	0.8453459846	0.9211240824	0.8713790276000001	0.8837410090000001	0.9192241138	0.9188253486	0.9179705183	0.8801897168	0.9205261938
H007_188	0.8586554592000001	0.917958292	0.8363657809	0.9945140294	0.8401490118	0.8402737166	0.8400510666000001	0.24489080670000002	0.8401222522	0.8532601593	0.9203876967	0.9970759330000001	0.9976080067	0.9978296174000001	0.9919526454	0.9958657771	0.9961970242	0.9984858763000001	0.9977862306	0.8418837071	0.9972315542	0.996715848	0.9971897261	0.99997376	0.997373146	0.9980888994	0.9195734785	0.9167910034000001	0.9200348862000001	0.8425251572	0.8447264562	0.9207711639	0.8449327387000001	0.9182692745000001	0.8447230788000001	0.8440216145	0.9203570401000001	0.8717689449	0.8831360443	0.9193918772	0.9196025763000001	0.9175904129	0.8781556477	0.9196072527
