file,sample,treatment,time,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,STRAINGROUP,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
H007_145_S216_L001.gd,H007_145_S216_L001,AB,7,345742982,1238794,345764282,1238910,327784819,1176389,2,53,45,8,0,0,0,0,0,0,0,3813409,3813409,8,13,1,0,0,23
H007_146_S217_L001.gd,H007_146_S217_L001,AB,7,341691865,1234471,341722837,1234658,291882331,1055825,2,1663,1458,189,10,1,0,5,0,0,0,3813409,3813409,603,523,7,1,0,324
H007_148_S218_L001.gd,H007_148_S218_L001,AB,7,352892166,1286513,352917991,1286670,305924518,1116859,2,1661,1460,185,10,1,0,5,0,0,0,3813409,3813409,625,519,7,1,0,308
H007_154_S219_L001.gd,H007_154_S219_L001,AB,7,323986067,1171341,324005335,1171476,278404405,1007919,2,1627,1434,177,10,1,0,5,0,0,0,3813409,3813409,622,503,6,1,0,302
H007_156_S220_L001.gd,H007_156_S220_L001,AB,7,390765420,1440661,390789229,1440804,337298543,1245703,2,2176,1908,252,10,1,0,5,0,0,0,3813409,3813409,919,640,4,1,0,344
H007_157_S221_L001.gd,H007_157_S221_L001,AB,7,392354500,1411349,392377534,1411492,339518484,1222624,2,1566,1379,171,10,1,0,5,0,0,0,3813409,3813409,586,506,6,1,0,280
H007_158_S222_L001.gd,H007_158_S222_L001,AB,7,341086968,1238498,341113768,1238678,297556419,1081492,2,1638,1442,180,10,1,0,5,0,0,0,3813409,3813409,606,517,6,1,0,312
H007_162_S223_L001.gd,H007_162_S223_L001,AB,7,317038724,1148388,317066247,1148572,272538560,988131,2,1615,1412,187,10,1,0,5,0,0,0,3813409,3813409,582,512,8,1,0,309
H007_172_S224_L001.gd,H007_172_S224_L001,AB,7,362454538,1317172,362474152,1317302,312376005,1136818,2,1547,1368,163,10,1,0,5,0,0,0,3813409,3813409,581,498,5,1,0,283
H007_176_S225_L001.gd,H007_176_S225_L001,AB,7,425276493,1545775,425303837,1545952,342395366,1245868,6,8857,7950,870,24,7,0,6,0,0,0,3813409,3813409,3678,2808,18,1,0,1445
H007_181_S226_L001.gd,H007_181_S226_L001,AB,7,325198249,1177271,325219765,1177412,282510724,1024120,2,1586,1400,170,10,1,0,5,0,0,0,3813409,3813409,591,518,4,1,0,286
H007_183_S227_L001.gd,H007_183_S227_L001,AB,7,358076576,1298168,358100880,1298316,309491942,1123363,2,1539,1358,165,10,1,0,5,0,0,0,3813409,3813409,573,482,7,1,0,295
H007_187_S228_L001.gd,H007_187_S228_L001,AB,7,471846336,1696880,471875313,1697040,407876743,1468361,2,1626,1422,188,10,1,0,5,0,0,0,3813409,3813409,596,515,6,1,0,304
H007_188_S229_L001.gd,H007_188_S229_L001,AB,7,328201996,1168104,328237006,1168310,288006746,1026488,2,1714,1490,209,9,1,0,5,0,0,0,3813409,3813409,656,539,6,2,0,287
H007_190_S230_L001.gd,H007_190_S230_L001,AB,7,377312215,1368238,377340466,1368428,326714723,1186250,2,1473,1303,154,10,1,0,5,0,0,0,3813409,3813409,566,485,8,2,0,242
H007_194_S231_L001.gd,H007_194_S231_L001,AB,7,356438536,1285614,356465844,1285796,307853488,1111841,2,1780,1557,208,10,1,0,4,0,0,0,3813409,3813409,688,538,5,3,0,323
H005_102_S212_L001.gd,H005_102_S212_L001,NO,5,326862038,1191409,326884716,1191554,263507601,961682,1,10520,9506,980,29,2,0,3,0,0,0,3813409,3813409,4407,3409,26,1,0,1663
H005_118_S213_L001.gd,H005_118_S213_L001,NO,5,460246355,1656839,460276580,1657048,444550624,1602442,2,33,27,6,0,0,0,0,0,0,0,3813409,3813409,7,2,0,0,0,18
