Sample	Aligned_Length	%	Std
H005_102	3359568	90.6061%	55.7931
H005_118	3343954	90.1850%	73.6495
H005_126	3342819	90.1544%	27.0579
H005_137	3322156	89.5971%	67.6748
H005_73	3249520	87.6381%	67.3374
H005_75	3246121	87.5465%	73.0645
H005_77	3246086	87.5455%	68.5654
H005_94	85232	2.2987%	21.2728
H005_97	3246368	87.5531%	62.7609
H005_98	3342552	90.1472%	60.2968
H007_145	3347665	90.2851%	76.5514
H007_146	3322370	89.6029%	71.9114
H007_148	3322461	89.6053%	69.9229
H007_154	3322060	89.5945%	66.1004
H007_156	3321888	89.5899%	87.1646
H007_157	3321975	89.5922%	80.3249
H007_158	3317725	89.4776%	64.6088
H007_162	3321634	89.5830%	69.7708
H007_172	3321902	89.5902%	60.4069
H007_176	3271268	88.2247%	65.6404
H007_181	3317776	89.4790%	54.2365
H007_183	3322303	89.6011%	66.0542
H007_187	3322400	89.6037%	93.6116
H007_188	3322500	89.6064%	92.8719
H007_190	3322500	89.6064%	75.3954
H007_194	3322781	89.6139%	82.7896
H009_202	3347822	90.2893%	88.0621
H009_205	3345096	90.2158%	78.4224
H009_211	3347365	90.2770%	84.7942
H009_213	3283173	88.5457%	76.3854
H009_215	3283177	88.5458%	81.5554
H009_217	3347816	90.2891%	80.8083
H009_218	3282662	88.5319%	64.5645
H009_219	3348009	90.2943%	78.9773
H009_220	3280935	88.4854%	59.6899
H009_221	3282191	88.5192%	62.3709
H009_228	3347882	90.2909%	80.2357
H009_230	3291101	88.7595%	92.3775
H009_234	3297720	88.9381%	90.0984
H009_236	3348661	90.3119%	86.5506
H009_251	3347387	90.2776%	71.6084
H009_255	3344363	90.1960%	81.8687
H009_256	3378619	91.1199%	95.3434
H009_259	3347553	90.2820%	83.9332
MH001	3377182	91.0811%	26.0774
MH002	3429034	92.4795%	38.0321
MH003	3424799	92.3653%	33.8319
MH004	3405912	91.8559%	36.0494
MH005	3389442	91.4118%	31.0147
MH006	14909	0.4021%	11.8158
MH007	3447266	92.9712%	35.3007
MH008	3212943	86.6517%	20.5111
MH009	3274790	88.3196%	19.6647
MH010	3282605	88.5304%	24.529
MH011	3359625	90.6076%	28.4401
MH012	2120007	57.1757%	27.2576

Summary:
Total Reference Length:	3707884
Positions Aligned in All Samples:	754
Percentage of All-Aligned Positions:	0.020335%
